position,cp,dtm,dtz,proven_depth
JFM2QhEREQEAAAAQAAAAAAAAAAcAAAAAd3d3cIq5nKgcAQ,134,0,0,32798
JFM2QhEREQEAAAAQAAAAAAAABwAAAAAAd3dwd4q5nKgcAQ,-18,0,0,32798
JFM2QhEREQEAAAAQAAAAAAAHAAAAAAAAd3B3d4q5nKgcAQ,4,0,0,32798
JFM2QhEREQEAAAAQAAAAAAcAAAAAAAAAcHd3d4q5nKgcAQ,45,0,0,32798
JFM2QhAREREAAAAAAQAAAAAAAAcAAAAAd3d3cIq5nKgcAQ,129,0,0,32798
JFM2QhAREREAAAAAAQAAAAAABwAAAAAAd3dwd4q5nKgcAQ,-21,0,0,32798
JFM2QhAREREAAAAAAQAAAAAHAAAAAAAAd3B3d4q5nKgcAQ,-8,0,0,32798
JFM2QhAREREAAAAAAQAAAAcAAAAAAAAAcHd3d4q5nKgcAQ,53,0,0,32798
JFM2QgEREREAAAAAEAAAAAAAAAcAAAAAd3d3cIq5nKgcAQ,54,0,0,32798
JFM2QgEREREAAAAAEAAAAAAABwAAAAAAd3dwd4q5nKgcAQ,-27,0,0,32798
JFM2QgEREREAAAAAEAAAAAAHAAAAAAAAd3B3d4q5nKgcAQ,38,0,0,32798
JFM2QgEREREAAAAAEAAAAAcAAAAAAAAAcHd3d4q5nKgcAQ,16,0,0,32798
JFM2QhEQEREAAAAAAAEAAAAAAAcAAAAAd3d3cIq5nKgcAQ,133,0,0,32798
JFM2QhEQEREAAAAAAAEAAAAABwAAAAAAd3dwd4q5nKgcAQ,14,0,0,32798
JFM2QhEQEREAAAAAAAEAAAAHAAAAAAAAd3B3d4q5nKgcAQ,24,0,0,32798
JFM2QhEQEREAAAAAAAEAAAcAAAAAAAAAcHd3d4q5nKgcAQ,68,0,0,32798
JFM2QhEBEREAAAAAABAAAAAAAAcAAAAAd3d3cIq5nKgcAQ,217,0,0,32798
JFM2QhEBEREAAAAAABAAAAAABwAAAAAAd3dwd4q5nKgcAQ,139,0,0,32798
JFM2QhEBEREAAAAAABAAAAAHAAAAAAAAd3B3d4q5nKgcAQ,67,0,0,32798
JFM2QhEBEREAAAAAABAAAAcAAAAAAAAAcHd3d4q5nKgcAQ,91,0,0,32798
JFMGQBERABEAACAAAANxAAAHAAcAAAAAd3BwcIq5nKgcAQ,161,0,0,32798
JAM2QhERBREAAAAAAABxAAAAAAcAAAAAd3dwcIq5nKgcAQ,-20,0,0,32798
JAM2QhERABEAAFAAAABxAAAAAAcAAAAAd3dwcIq5nKgcAQ,-12,0,0,32798
JAM2QhERABEAAAAAAABxBQAAAAcAAAAAd3dwcIq5nKgcAQ,-94,0,0,32798
JFMGQhERABEAAAAAAANxAAAAAAcAAAAAd3dwcIq5nKgcAQ,30,0,0,32798
